epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.49762,1.65779,4.52141,1.41675,0.00067,0.2,0.00045,0.00014,1.87037,4.75505,1.31977,6e-05,6e-05,6e-05
2,3.32641,1.75692,4.72754,1.52483,0.00167,0.5,0.00248,0.00079,1.67375,4.34863,1.19011,0.00013538,0.00013538,0.00013538
3,4.23953,1.40069,4.01391,1.19644,0.00267,0.8,0.00826,0.00468,1.36994,4.0396,0.98725,0.00020548,0.00020548,0.00020548
4,5.11722,1.20201,2.78492,1.14839,0.00333,1,0.01166,0.00678,1.12073,3.67924,0.89523,0.0002703,0.0002703,0.0002703
5,5.91694,1.11512,1.95457,1.11015,0.00333,1,0.01078,0.00666,1.09766,3.62354,0.89577,0.00032984,0.00032984,0.00032984
6,6.7347,1.19556,1.91806,1.02674,0.00333,1,0.0107,0.00634,1.19814,3.60792,0.90782,0.0003841,0.0003841,0.0003841
7,7.52774,1.22753,1.95496,1.07078,0.00333,1,0.01073,0.00621,1.08353,3.64349,0.8939,0.00043308,0.00043308,0.00043308
8,8.32471,1.08382,1.7211,1.0233,0.00333,1,0.0104,0.00614,0.93655,3.61752,0.8758,0.00047678,0.00047678,0.00047678
9,9.11113,1.06285,1.46223,1.07476,0.00333,1,0.01117,0.00714,1.0524,3.50092,0.88515,0.0005152,0.0005152,0.0005152
10,9.92053,0.9227,2.20908,1.00455,0.00333,1,0.01073,0.00642,0.98788,3.52557,0.86593,0.00054834,0.00054834,0.00054834
11,10.7032,0.98928,1.74856,1.07139,0.00333,1,0.01008,0.00634,1.02865,3.51143,0.88475,0.0005762,0.0005762,0.0005762
12,11.4955,1.01922,1.50419,1.04981,0.00333,1,0.00921,0.00678,0.92404,3.37273,0.86928,0.00059878,0.00059878,0.00059878
13,12.2866,1.14235,1.47376,1.02174,0.00333,1,0.02629,0.01959,1.0833,3.37755,0.90983,0.00061608,0.00061608,0.00061608
14,13.0679,1.07566,1.48845,1.01786,0.00333,1,0.03851,0.02923,1.11207,3.42803,0.91177,0.0006281,0.0006281,0.0006281
15,13.8737,0.97522,1.37941,0.97652,0.00333,1,0.16757,0.12031,1.00151,3.24078,0.89969,0.00063484,0.00063484,0.00063484
16,14.6464,0.95808,1.38664,1.00891,0.00333,1,0.25343,0.18205,1.07673,3.13159,0.90765,0.0006363,0.0006363,0.0006363
17,15.4351,0.97308,1.33136,0.95977,0.00333,1,0.15532,0.10403,1.18256,3.12216,0.9122,0.00063248,0.00063248,0.00063248
18,16.2293,1.06607,1.31647,0.98667,0.00333,1,0.06454,0.04143,1.0258,3.12995,0.8817,0.00062338,0.00062338,0.00062338
19,16.9971,0.88321,1.44484,0.97935,0.00333,1,0.21178,0.14417,1.02054,3.0343,0.87759,0.000609,0.000609,0.000609
20,17.763,1.04742,1.79666,0.98845,0.31649,0.6,0.57387,0.41851,1.05576,2.8471,0.88826,0.00058934,0.00058934,0.00058934
21,36.2782,0.9822,1.73907,0.97369,0.03339,1,0.85636,0.61042,1.1081,2.65332,0.88609,0.0005644,0.0005644,0.0005644
22,37.0732,0.91012,1.8044,0.95801,0.00333,1,0.86051,0.61892,0.98656,2.70251,0.86166,0.00053418,0.00053418,0.00053418
23,37.8472,0.89825,1.64834,0.98605,0.56541,0.13925,0.90455,0.61021,0.98413,2.58777,0.86588,0.00049868,0.00049868,0.00049868
24,38.6155,0.90491,1.8374,0.89153,0.71695,0.26034,0.88883,0.63849,1.01757,2.36315,0.87642,0.0004579,0.0004579,0.0004579
25,39.3806,0.95662,1.73753,1.00218,0.90043,1,0.90455,0.65812,0.99506,2.06897,0.86801,0.00041184,0.00041184,0.00041184
26,40.1577,0.85576,1.66811,0.97763,0.9091,1,0.995,0.75732,0.93321,1.82652,0.85395,0.00035,0.00035,0.00035
27,40.9225,0.83094,1.49203,0.91594,0.96687,1,0.995,0.78396,0.8818,1.67635,0.84364,0.000284,0.000284,0.000284
28,41.6973,0.77522,1.43761,0.91654,0.9758,1,0.995,0.81144,0.85559,1.58765,0.83712,0.000218,0.000218,0.000218
29,42.4656,0.74472,1.38472,0.89504,0.98159,1,0.995,0.80496,0.84938,1.51466,0.83622,0.000152,0.000152,0.000152
30,43.2353,0.74889,1.35477,0.86716,0.98571,1,0.995,0.82292,0.84293,1.45465,0.83624,8.6e-05,8.6e-05,8.6e-05
